noise,filter,seed,snr_in_db,snr_out_db,delta_snr_db,mse_in,mse_out,hurst_in,hurst_out,alpha_in,alpha_out
N4,F6,0,-20.44271049984347,-13.662807528232397,6.779902971611074,2.157144213329153,0.4722063786260929,0.7599815825220615,1.03515445302027,1.7679675274867448,1.6142811657138791
N4,F7,0,-20.44271049984347,-11.773457465202588,8.669253034640883,2.157144213329153,0.3139568464471078,0.7599815825220615,0.9919930917392736,1.7679675274867448,1.9488425668692309
N4,F8,0,-20.44271049984347,-11.773457465202588,8.669253034640883,2.157144213329153,0.3139568464471078,0.7599815825220615,0.9919930917392736,1.7679675274867448,1.9488425668692309
N4,F5,0,-20.44271049984347,-10.973131225998355,9.469579273845117,2.157144213329153,0.2633856244301077,0.7599815825220615,1.1105695594437237,1.7679675274867448,1.7951032233018893
N4,F9,0,-20.44271049984347,-6.387535457763102,14.05517504208037,2.157144213329153,0.0945786300194272,0.7599815825220615,1.3615306499915114,1.7679675274867448,1.6162560022200658
N4,F0,1,-17.66248361324639,-17.66248361324639,0.0,1.09346860521979,1.09346860521979,0.802834882070392,0.802834882070392,1.7854967980890557,1.7854967980890557
N4,F1,1,-17.66248361324639,-10.275161242641042,7.387322370605348,1.09346860521979,0.19962967392016026,0.802834882070392,1.193240795001004,1.7854967980890557,1.7152398463377092
N4,F2,1,-17.66248361324639,-7.640274498647727,10.022209114598663,1.09346860521979,0.10889001575880242,0.802834882070392,1.3814845741231858,1.7854967980890557,1.7178087645455098
N4,F3,1,-17.66248361324639,-6.915604718116411,10.74687889512998,1.09346860521979,0.09232776535375337,0.802834882070392,1.2636030436944299,1.7854967980890557,1.5106562510233705
N4,F4,1,-17.66248361324639,-9.365709384517055,8.296774228729335,1.09346860521979,0.16183999272672037,0.802834882070392,1.1914756912903788,1.7854967980890557,1.6547207970876174
N4,F6,1,-17.66248361324639,-5.731247873809774,11.931235739436616,1.09346860521979,0.07038454703345089,0.802834882070392,1.3600668942426173,1.7854967980890557,1.4314023935116604
N4,F7,1,-17.66248361324639,-9.221615580337536,8.440868032908854,1.09346860521979,0.15656733428933836,0.802834882070392,1.0612314283330166,1.7854967980890557,1.9670115913899084
N4,F8,1,-17.66248361324639,-9.221615580337536,8.440868032908854,1.09346860521979,0.15656733428933836,0.802834882070392,1.0612314283330166,1.7854967980890557,1.9670115913899084
N4,F5,1,-17.66248361324639,-8.940711957600689,8.721771655645702,1.09346860521979,0.14675298634330353,0.802834882070392,1.1757512011764037,1.7854967980890557,1.8522704208731258
N4,F9,1,-17.66248361324639,-5.108818767209023,12.553664846037368,1.09346860521979,0.06073096389637695,0.802834882070392,1.4130365306822785,1.7854967980890557,1.4847334402940038
N4,F0,2,-32.71982308966678,-32.71982308966678,0.0,31.244174022559104,31.244174022559104,0.9777166576359729,0.9777166576359729,1.5828714179545438,1.5828714179545438
N4,F1,2,-32.71982308966678,-25.453060051118687,7.2667630385480955,31.244174022559104,6.31827346922172,0.9777166576359729,1.3225870702286142,1.5828714179545438,1.594449962624472
N4,F2,2,-32.71982308966678,-22.62763224524783,10.092190844418951,31.244174022559104,3.5647320147227,0.9777166576359729,1.5068627010391278,1.5828714179545438,1.5606064547433938
N4,F3,2,-32.71982308966678,-32.314893529530885,0.40492956013589776,31.244174022559104,28.500618082242333,0.9777166576359729,1.201923605209007,1.5828714179545438,1.468656871193208
N4,F4,2,-32.71982308966678,-20.442611255705007,12.277211833961776,31.244174022559104,2.2093566497427246,0.9777166576359729,1.2870835343467573,1.5828714179545438,1.6333278022646573
N4,F6,2,-32.71982308966678,-32.156849519994076,0.5629735696727067,31.244174022559104,27.501692985260377,0.9777166576359729,1.2155050631257396,1.5828714179545438,1.5092401381549632
N4,F7,2,-32.71982308966678,-23.70416709884036,9.01565599082642,31.244174022559104,4.284683111585128,0.9777166576359729,1.2069275502624712,1.5828714179545438,1.5466062671916536
N4,F8,2,-32.71982308966678,-23.70416709884036,9.01565599082642,31.244174022559104,4.284683111585128,0.9777166576359729,1.2069275502624712,1.5828714179545438,1.5466062671916536
N4,F5,2,-32.71982308966678,-21.71741725125901,11.002405838407771,31.244174022559104,2.826146479719255,0.9777166576359729,1.2781949710012497,1.5828714179545438,1.6217499379587892
N4,F9,2,-32.71982308966678,-13.679485866597767,19.040337223069017,31.244174022559104,0.5591106597745443,0.9777166576359729,1.4369671208188688,1.5828714179545438,1.5553479292702284
N4,F0,3,-23.257527894138008,-23.257527894138008,0.0,3.690434887904505,3.690434887904505,0.8346944691300844,0.8346944691300844,1.7165888470068063,1.7165888470068063
N4,F1,3,-23.257527894138008,-15.871174363391216,7.386353530746792,3.690434887904505,0.7006024582740191,0.8346944691300844,1.208929906336271,1.7165888470068063,1.842085475192925
N4,F2,3,-23.257527894138008,-13.025074772737995,10.232453121400013,3.690434887904505,0.3796982820157403,0.8346944691300844,1.405113203282767,1.7165888470068063,1.8029987236720646
N4,F3,3,-23.257527894138008,-20.38537134703054,2.872156547107469,3.690434887904505,1.920220356475661,0.8346944691300844,1.1135761640172142,1.7165888470068063,1.487001980306643
N4,F4,3,-23.257527894138008,-12.36908982184888,10.888438072289128,3.690434887904505,0.3231969686590048,0.8346944691300844,1.1719257232974571,1.7165888470068063,1.9200859729146722
