block,model,noise,optimizer,filter,seed,steps,conv100,t_drop100,t_eps,eps_hit,slope,floor_p10,floor_p50,floor_p90,auc,holdout,elapsed_s
A,quadratic,N1,sgd,F0,65,4000,1,270,218,1,-0.676404929497868,0.001113101173320297,0.0015184247875037874,0.0022933085850098825,-2.6517935672134816,0.014844662687576265,0.02812679100316018
A,quadratic,N1,sgd,F0,66,4000,1,412,295,1,0.7650436211675539,0.0011643261290709575,0.0018454521374902978,0.0027537943483088383,-2.62742271390518,0.01686323503854517,0.02598595799645409
A,quadratic,N1,sgd,F0,67,4000,1,346,303,1,0.34009860796267466,0.0010311315661019388,0.0017475646718914653,0.0024191380488576553,-2.600058473971133,0.01855520157036977,0.02860883402172476
A,quadratic,N1,sgd,F0,68,4000,1,406,150,1,-0.04081582495479514,0.0011168188424083355,0.0021318219322926683,0.003218843550964561,-2.6953830995728247,0.017894014445828853,0.053447459009476006
A,quadratic,N1,sgd,F0,69,4000,1,355,213,1,0.7249597043150559,0.0012199684009864796,0.001808654662543199,0.0027314457495263935,-2.6757261177111133,0.02092088343701551,0.025853290979284793
A,quadratic,N1,sgd,F0,70,4000,1,404,279,1,-0.7220225882873523,0.0011012439804292003,0.0016236644934813122,0.0022461194659952714,-2.613112518337727,0.01321744855336435,0.02688370901159942
A,quadratic,N1,sgd,F0,71,4000,1,281,278,1,0.27406933335007516,0.0011121496508621884,0.0016472649054146164,0.002728479576836902,-2.6016871226213243,0.01860715099601421,0.03945737500907853
A,quadratic,N1,sgd,F0,72,4000,1,322,279,1,-0.25724450652654307,0.0008665239936990698,0.0014475235808466356,0.002338378962259911,-2.650236258636035,0.019458344768675414,0.046414207958150655
A,quadratic,N1,sgd,F0,73,4000,1,301,155,1,0.22112063528161946,0.0011268044960415057,0.001763830996303799,0.002599242791600305,-2.7047699343313147,0.015620658117787112,0.036613249976653606
A,quadratic,N1,sgd,F0,74,4000,1,325,283,1,0.4588698762642907,0.001287943693607979,0.0020520217381318822,0.00327559757969928,-2.6118908086377792,0.01917944711989965,0.023511209001298994
A,quadratic,N1,sgd,F0,75,4000,1,306,235,1,1.2570184976849845,0.0011480639026049623,0.002131170591789051,0.002927493627297635,-2.6288631456835283,0.021860282601989123,0.03519870899617672
A,quadratic,N1,sgd,F0,76,4000,1,332,328,1,-0.023908870063072737,0.0009271051143301812,0.0016523021909216529,0.0026786089033106033,-2.6090363627571986,0.021716760908350563,0.03593875002115965
A,quadratic,N1,sgd,F0,77,4000,1,309,259,1,0.13605632978624194,0.0009031119278537622,0.0014761181743245593,0.002346306304516094,-2.6573952512462418,0.016771186124629103,0.04758729098830372
A,quadratic,N1,sgd,F0,78,4000,1,313,299,1,-0.7195422652106936,0.0009986655350140595,0.0020771141412251346,0.0032029621333725072,-2.6065198464060177,0.011346339444527703,0.03250874998047948
A,quadratic,N1,sgd,F0,79,4000,1,287,239,1,0.19291393911142377,0.001098991883746851,0.0014899104655160872,0.002207438461298484,-2.6716028718439953,0.01444579061945888,0.029259041999466717
A,quadratic,N1,sgd,F0,80,4000,1,387,270,1,-0.6430203167696192,0.0010814800031778567,0.0016739364219522487,0.0024352666917781154,-2.6361823806561007,0.017374400374556075,0.04120491701178253
A,quadratic,N1,sgd,F0,81,4000,1,197,167,1,0.07743424360089164,0.0011379403745466702,0.0017960464506108582,0.0025207660672438145,-2.686609711410476,0.0248238217118063,0.04073199996491894
A,quadratic,N1,sgd,F0,82,4000,1,297,281,1,-1.403185294892379,0.000959435484462828,0.0015229945734310682,0.0022350694715211794,-2.6240784185727186,0.012727501191397797,0.04014095902675763
A,quadratic,N1,sgd,F0,83,4000,1,376,282,1,-1.0655521204905491,0.0010967229874600088,0.0017732693570811646,0.002784210108356302,-2.6298311219788166,0.01319199985538033,0.025181292032357305
A,quadratic,N1,sgd,F0,84,4000,1,273,231,1,1.8311081558684226,0.0012159602695239237,0.0020282977731667837,0.003233034006787679,-2.655396559235832,0.02008147910998311,0.023893624951597303
A,quadratic,N1,sgd,F0,85,4000,1,372,254,1,0.12492087198270163,0.0011104540865889251,0.0015780388886904703,0.00259430097576869,-2.6188461010205786,0.019114645877047486,0.031281250005122274
A,quadratic,N1,sgd,F0,86,4000,1,327,310,1,0.9990593412560247,0.001118892257088605,0.0017051135039578352,0.002572928301484711,-2.6114846787574244,0.01798216482467624,0.055134041991550475
A,quadratic,N1,sgd,F0,87,4000,1,370,274,1,-0.07367193408377994,0.0011527766937452961,0.0016616316084635163,0.0028388133130270925,-2.631175122073446,0.015744328994639352,0.030894333962351084
