model,optimizer,filter,seed,steps,conv,t_drop100,floor_p50,floor_p10,floor_p90,auc,final_grad
logistic,sgd,F4,2,4000,0,4000,0.3125130421960982,0.30250093016599283,0.3199903760729221,-0.5023861213860353,0.300312705685879
logistic,sgd,F4,3,4000,0,4000,0.3800219109782579,0.3594125518500929,0.40168875897730955,-0.46191323044588184,0.35394397088096674
logistic,sgd,F4,4,4000,0,4000,0.15213512047108113,0.1505690830500056,0.15393379737511412,-0.78404122999581,0.14990177029563895
logistic,sgd,F4,5,4000,0,4000,0.2710441708221909,0.24202764444527922,0.2973201891222785,-0.5620712514254671,0.23783992128950418
logistic,sgd,F4,6,4000,0,4000,0.2770337277250635,0.2557343675765093,0.3012146551885501,-0.4910333270367081,0.2525985919834161
logistic,sgd,F4,7,4000,0,4000,0.3381967433286278,0.33156732625895,0.3465647243010137,-0.44641226702393716,0.3302267995093319
logistic,sgd,F5,0,4000,0,4000,0.2828579073059203,0.2818967811301516,0.2845334276333864,-0.5382774795362529,0.28549810661232555
logistic,sgd,F5,1,4000,0,4000,0.40181718164368674,0.39464053135885757,0.40424860464550877,-0.46138682070553005,0.40259566421849863
logistic,sgd,F5,2,4000,0,4000,0.3126131780784973,0.3039173993177495,0.32000289489220607,-0.5058636866869177,0.3006913860070572
logistic,sgd,F5,3,4000,0,4000,0.38088753477049186,0.36210040462759385,0.4034639130168937,-0.4615535294315877,0.3550214402507585
logistic,sgd,F5,4,4000,0,4000,0.15233394053029276,0.150978935169762,0.15396714319601143,-0.7822395149594034,0.15072473266144812
logistic,sgd,F5,5,4000,0,4000,0.27923064323668106,0.2439081368697661,0.2994894587980385,-0.5614818102185132,0.23969982932867664
logistic,sgd,F5,6,4000,0,4000,0.27866369417790493,0.2598568832518391,0.30201662582611793,-0.4931388732295851,0.25346170786349087
logistic,sgd,F5,7,4000,0,4000,0.33867562331014045,0.3317194740886957,0.346721458717551,-0.44637786448351147,0.3304560135159002
