task,filter,noise,optimizer,clip,seed,t_eps,final_grad_norm_sq,final_loss,final_alpha_hat,elapsed_s
logistic,F0,N3,sgd,False,3,-1,0.030570353916039766,0.6719926744462638,,2.0540183170014643
logistic,F0,N3,sgd,False,4,-1,0.022201268975187396,0.6658245148670909,,2.070177050998609
logistic,F0,N3,sgd,False,5,-1,0.3642594327838674,112.70525873364883,,1.234741517000657
logistic,F0,N3,sgd,True,0,-1,0.036379614327074684,0.8709980811402358,1.05,2.084125953995681
logistic,F0,N3,sgd,True,1,-1,0.02408560906322522,0.8221602539668754,1.2518110655242025,2.0838178810008685
logistic,F0,N3,sgd,True,2,-1,0.06516160303766924,0.8628407657145872,1.2491302738361345,1.2441643130005104
logistic,F0,N3,sgd,True,3,-1,0.03177234570064951,0.6494901326426114,1.3668538481312011,2.1194198679950205
logistic,F0,N3,sgd,True,4,-1,0.022888297115845124,0.6578315984387729,1.1712731333345294,1.2598846670007333
logistic,F0,N3,sgd,True,5,-1,0.058517141895714636,0.8319253626637783,1.1055261746777285,2.076782115000242
logistic,F0,N3,adam,False,0,-1,0.03956566149323682,0.7179886921962005,,2.064693495995016
logistic,F0,N3,adam,False,1,-1,0.027544308041772995,0.7060198153644087,,1.2622657570027513
logistic,F0,N3,adam,False,2,-1,0.062394285312775466,0.7562916267616615,,1.2634055439993972
logistic,F0,N3,adam,False,3,-1,0.03634510598917456,0.5768091856954356,,1.2566190810030093
logistic,F0,N3,adam,False,4,-1,0.019177546393816698,0.5164317213420997,,2.1207585919983103
logistic,F0,N3,adam,False,5,-1,0.06261974515240334,0.7106850238385919,,1.2533168840018334
logistic,F0,N3,adam,True,0,-1,0.03709022073703441,0.711034687161118,1.05,1.2994799869993585
logistic,F0,N3,adam,True,1,-1,0.02188645669264993,0.6683835400703897,1.2483495211060232,1.2996133979977458
logistic,F0,N3,adam,True,2,-1,0.05160564928487424,0.6827067529965118,1.2470889001239451,2.124367087999417
logistic,F0,N3,adam,True,3,-1,0.030575318532306398,0.555195616074664,1.3656358871563108,1.298689335002564
logistic,F0,N3,adam,True,4,-1,0.018951014037431754,0.5182309346957242,1.1775908974422595,2.124771872004203
logistic,F0,N3,adam,True,5,-1,0.053021297854042596,0.671292601066228,1.1032384944113491,1.2879884750000201
logistic,F0,N4,sgd,False,0,-1,0.036404466487462345,0.9686989127507603,,3.706410869002866
logistic,F0,N4,sgd,False,1,-1,0.027098202731813372,0.7892435577400888,,3.7583681640026043
logistic,F0,N4,sgd,False,2,-1,0.03844358375158669,0.8321860532231132,,6.716200647002552
logistic,F0,N4,sgd,False,3,-1,0.027058756190921476,0.7590723414563048,,6.719731358993158
logistic,F0,N4,sgd,False,4,-1,0.11073711470956028,1.6545850807651155,,3.752721881995967
logistic,F0,N4,sgd,False,5,-1,0.050709786047532984,3.1327191560520404,,3.845065418005106
logistic,F0,N4,sgd,True,0,-1,0.030765925059041514,0.8464927352497644,1.2500426564915847,5.95525431400165
logistic,F0,N4,sgd,True,1,-1,0.02506984517862715,0.7185300700455002,1.550198407722507,5.955741306999698
logistic,F0,N4,sgd,True,2,-1,0.0383994385171429,0.8330823815167989,1.3606566733032694,6.058900106996589
logistic,F0,N4,sgd,True,3,-1,0.03417007979033195,0.6153425320759678,1.3250023595197156,6.704209516996343
logistic,F0,N4,sgd,True,4,-1,0.06751263796888045,0.9880636019465731,1.191777213927852,6.055673650997051
logistic,F0,N4,sgd,True,5,-1,0.04311486180905662,0.9021531916034492,1.2662459247195312,3.8091594080033246
logistic,F0,N4,adam,False,0,-1,0.028492081531913356,0.6525693406277743,,3.843880063999677
logistic,F0,N4,adam,False,1,-1,0.022257522329219084,0.5626922544849522,,6.650697823002702
logistic,F0,N4,adam,False,2,-1,0.039432296070809045,0.6558275873488526,,3.869330285997421
logistic,F0,N4,adam,False,3,-1,0.024338919348053788,0.5040962085502808,,3.827541154001665
logistic,F0,N4,adam,False,4,-1,0.04455689491209699,0.665469666768573,,6.784031110000797
logistic,F0,N4,adam,False,5,-1,0.03465133625855686,0.6145869947078328,,6.780058688003919
logistic,F0,N4,adam,True,0,-1,0.028035117362958616,0.6452297899112415,1.2539220866290308,5.998558707004122
logistic,F0,N4,adam,True,1,-1,0.02131620102299633,0.5487913768158423,1.555625893028254,5.998862829001155
logistic,F0,N4,adam,True,2,-1,0.03916821902211414,0.6598879001967228,1.3663500881985524,3.812117465000483
logistic,F0,N4,adam,True,3,-1,0.029621125622959404,0.509941156870498,1.312574516943335,3.964464038996084
logistic,F0,N4,adam,True,4,-1,0.045689248590509116,0.6736805255212377,1.1748671291128523,3.9305524109950056
logistic,F0,N4,adam,True,5,-1,0.04297483613823321,0.6726551666368403,1.2597986941980839,3.8765567830050713
logistic,F2,N3,sgd,False,0,-1,0.2059025871124218,7.840533197100112,,2.786155574998702
logistic,F2,N3,sgd,False,1,-1,0.2468325089511362,12.118701839153244,,2.788258918997599
logistic,F2,N3,sgd,False,2,-1,0.13076984993197197,1.691680573618609,,2.764773476003029
logistic,F2,N3,sgd,False,3,-1,0.028669798201604854,0.6469071835622457,,2.7807616510035587
logistic,F2,N3,sgd,False,4,-1,0.023336018122783134,0.683498494128764,,1.626004195997666
logistic,F2,N3,sgd,False,5,-1,0.36450972793989744,113.04417146948312,,2.7600961969947093
logistic,F2,N3,sgd,True,0,-1,0.16109493458837545,4.475245139298758,1.05,1.7260787750055897
logistic,F2,N3,sgd,True,1,-1,0.10404381997652654,2.567538826342401,2.0,2.760152126000321
logistic,F2,N3,sgd,True,2,-1,0.13076984993197197,1.691680573618609,2.0,1.6800534970025183
logistic,F2,N3,sgd,True,3,-1,0.028669798201604854,0.6469071835622457,1.503124927535097,1.6850012599970796
logistic,F2,N3,sgd,True,4,-1,0.023336018122783134,0.683498494128764,1.3415348768726028,2.7407560229985393
logistic,F2,N3,sgd,True,5,-1,0.06666471776917489,1.1313172628847588,1.798231525874073,1.6840790339992964
logistic,F2,N3,adam,False,0,-1,0.05712291409437181,3.912574832091099,,2.7543423699971754
logistic,F2,N3,adam,False,1,-1,0.044536244584440346,3.7727743522741477,,2.7543529399990803
logistic,F2,N3,adam,False,2,-1,0.10990501499701937,4.575965028021577,,2.7242882719947374
logistic,F2,N3,adam,False,3,-1,0.04706852004219994,2.215396703317886,,1.662801815000421
logistic,F2,N3,adam,False,4,-1,0.025338447345134442,2.1144296880001074,,2.734555549999641
logistic,F2,N3,adam,False,5,-1,0.10816618026394219,3.9822898647509994,,2.736819886005833
logistic,F2,N3,adam,True,0,-1,0.05457957036262712,3.788307578138382,1.05,1.6428636179989553
logistic,F2,N3,adam,True,1,-1,0.043803431113811866,3.776089383877096,1.642271630432328,1.6662416319959448
logistic,F2,N3,adam,True,2,-1,0.10990501499701937,4.575965028021577,2.0,2.8251532159993076
logistic,F2,N3,adam,True,3,-1,0.04706852004219994,2.215396703317886,1.4666628105566903,2.8261067119965446
logistic,F2,N3,adam,True,4,-1,0.025338447345134442,2.1144296880001074,1.3576662094757939,1.691600797996216
logistic,F2,N3,adam,True,5,-1,0.09700850982612619,3.430494250585933,1.9587514824515824,2.7608887189999223
logistic,F2,N4,sgd,False,0,-1,0.04170525499372228,1.058950552476739,,4.157495288003702
