noise,sigma,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
N3,0.6,F0,adam,1,0.02998950558342161,0.807
N3,0.6,F0,adam,2,0.0354233295675785,0.777
N3,0.6,F0,adam,3,0.06887720377656667,0.727
N3,0.6,F2,sgd,0,0.13530584288363073,0.638
N3,0.6,F2,sgd,1,0.028596683021490245,0.81
N3,0.6,F2,sgd,2,0.04126777812282441,0.763
N3,0.6,F2,sgd,3,0.06593702847987579,0.737
N3,0.6,F2,adam,0,0.09782444377010181,0.684
N3,0.6,F2,adam,1,0.03640457350406243,0.799
N3,0.6,F2,adam,2,0.045989658287656214,0.774
N3,0.6,F2,adam,3,0.08523858810900119,0.707
N3,0.6,F4,sgd,0,0.03626884831373168,0.765
N3,0.6,F4,sgd,1,0.02641830084115342,0.792
N3,0.6,F4,sgd,2,0.0373815981377864,0.772
N3,0.6,F4,sgd,3,0.024193558159560598,0.807
N3,0.6,F4,adam,0,0.04500446074292777,0.75
N3,0.6,F4,adam,1,0.03741084803361895,0.777
N3,0.6,F4,adam,2,0.04251218928262028,0.765
N3,0.6,F4,adam,3,0.02748430004176806,0.799
N3,0.6,F7,sgd,0,0.035390188321818956,0.763
N3,0.6,F7,sgd,1,0.019610926166426738,0.804
N3,0.6,F7,sgd,2,0.03259974480035792,0.782
N3,0.6,F7,sgd,3,0.022750731670632005,0.8
N3,0.6,F7,adam,0,0.04080614777804344,0.752
N3,0.6,F7,adam,1,0.026456617750224894,0.799
N3,0.6,F7,adam,2,0.03653292005043218,0.779
N3,0.6,F7,adam,3,0.02391472407755625,0.798
N3,0.6,F8,sgd,0,0.03647432979845809,0.766
N3,0.6,F8,sgd,1,0.02008077413980398,0.806
N3,0.6,F8,sgd,2,0.032202293370504675,0.787
N3,0.6,F8,sgd,3,0.022384089604229607,0.797
N3,0.6,F8,adam,0,0.0414053145627456,0.748
N3,0.6,F8,adam,1,0.02703744463967577,0.798
N3,0.6,F8,adam,2,0.036886643391910175,0.781
N3,0.6,F8,adam,3,0.02383856522926479,0.799
N3,0.8,F0,sgd,0,0.15203005564136582,0.616
N3,0.8,F0,sgd,1,0.032406443897084,0.795
