domain,model,optimizer,filter,n_cells,causal,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0,bucket
electricity_load,regression,sgd,F3,16,0,179.5,1.0,0.00019472129762115853,-1.0220707434158958,-3.30637604138956,0.14154117626344254,1.8723999999999998,0.7899848755568584,0.5905292479108635,0.40166133215310607,heavy_long
electricity_load,regression,sgd,F4,16,1,126.0,1.0,0.00011296548107861359,-1.2374881469034011,-3.294364978359599,0.8544710800111723,1.8723999999999998,0.7899848755568584,0.8412698412698413,0.6923532308658749,heavy_long
electricity_load,regression,sgd,F5,16,1,112.0,1.0,6.441876387173794e-05,-0.4607211852270983,-3.952564857767246,0.7789470011134569,1.8723999999999998,0.7899848755568584,0.9464285714285714,1.2141185440444235,heavy_long
electricity_load,regression,sgd,F6,16,1,109.5,1.0,0.00011709711589646984,-1.258912712240723,-3.2399114589242166,0.24055428596498696,1.8723999999999998,0.7899848755568584,0.9680365296803652,0.6679243566532099,heavy_long
electricity_load,regression,sgd,F7,16,1,133.0,1.0,0.00010500964598009354,-1.3360968557790494,-3.3187533283848514,0.6024131800234387,1.8723999999999998,0.7899848755568584,0.7969924812030075,0.7448079180832823,heavy_long
financial_15m,classification,adam,F0,12,1,4000.0,0.08333333333333333,0.0002754231256981757,0.06433767567535864,-3.549742119519711,0.511350407450524,1.5410161567776177,0.07878494618365484,1.0,1.0,heavy_short
financial_15m,classification,adam,F1,12,1,895.5,1.0,4.0575545411558674e-05,-1.5583033501622647,-3.924938833912581,0.6429868361325466,1.5410161567776177,0.07878494618365484,4.46677833612507,6.787909389869014,heavy_short
financial_15m,classification,adam,F2,12,1,2687.0,0.6666666666666666,5.902231957385938e-05,-1.629142035880539,-3.6703901645747052,0.5810258738084431,1.5410161567776177,0.07878494618365484,1.48864905098623,4.66642327320797,heavy_short
financial_15m,classification,adam,F3,12,0,4000.0,0.3333333333333333,6.929541245068127e-05,-0.2751944516124841,-3.995769310736104,0.6332274171584203,1.5410161567776177,0.07878494618365484,1.0,3.974622791865177,heavy_short
financial_15m,classification,adam,F4,12,1,704.5,1.0,1.2915266687675426e-05,-2.221126820525218,-4.300399622799556,0.6472991375397186,1.5410161567776177,0.07878494618365484,5.6777856635912,21.32539206186134,heavy_short
financial_15m,classification,adam,F5,12,1,3165.5,0.6666666666666666,6.832317388210486e-05,-1.4994829864541277,-3.6300654469129756,0.6168860644575579,1.5410161567776177,0.07878494618365484,1.2636234402148159,4.031181662804958,heavy_short
financial_15m,classification,adam,F6,12,1,416.0,0.6666666666666666,6.12370556355703e-05,0.09332200964435151,-3.9038608384379283,0.6536541080344984,1.5410161567776177,0.07878494618365484,9.615384615384615,4.497654611894711,heavy_short
financial_15m,classification,adam,F7,12,1,614.0,1.0,1.2913451267506475e-05,-0.8540597596347507,-4.4618761052026334,0.6418520199727644,1.5410161567776177,0.07878494618365484,6.514657980456026,21.328390063407006,heavy_short
financial_15m,classification,sgd,F0,12,1,1387.0,1.0,1.5138117541326007e-05,0.49891145442173707,-4.659889842471535,0.5148428405122236,1.5410161567776177,0.07878494618365484,1.0,1.0,heavy_short
financial_15m,classification,sgd,F1,12,1,4000.0,0.0,0.001497218947588123,-1.3535175254817242,-2.483827628690164,0.6484339536995007,1.5410161567776177,0.07878494618365484,0.34675,0.010110824182202657,heavy_short
financial_15m,classification,sgd,F2,12,1,4000.0,0.0,0.00264130279670214,-0.8623824299229814,-2.382896686872538,0.5812528370403995,1.5410161567776177,0.07878494618365484,0.34675,0.005731307126251127,heavy_short
financial_15m,classification,sgd,F3,12,0,4000.0,0.3333333333333333,0.00016448353530434354,-0.22134509388396018,-3.8356031181620884,0.6339083068542897,1.5410161567776177,0.07878494618365484,0.34675,0.09203424229249438,heavy_short
financial_15m,classification,sgd,F4,12,1,4000.0,0.0,0.0008926200656130894,-1.2829815905295312,-2.7108590350519113,0.6454834316840672,1.5410161567776177,0.07878494618365484,0.34675,0.01695919476213937,heavy_short
financial_15m,classification,sgd,F5,12,1,4000.0,0.0,0.002634312652401543,-0.7874496989671934,-2.42011790757856,0.6173399909214707,1.5410161567776177,0.07878494618365484,0.34675,0.005746515140306335,heavy_short
financial_15m,classification,sgd,F6,12,1,4000.0,0.3333333333333333,0.0002242017747951699,-1.3294760902128877,-3.532151894906459,0.6563776668179755,1.5410161567776177,0.07878494618365484,0.34675,0.06752006113758978,heavy_short
financial_15m,classification,sgd,F7,12,1,4000.0,0.0,0.0006347737475261596,-1.4165947542269908,-2.867281856537692,0.6407172038129822,1.5410161567776177,0.07878494618365484,0.34675,0.02384805231836112,heavy_short
financial_15m,regression,adam,F0,12,1,3857.0,0.5,0.0023847860250509056,0.15298571903259625,-2.6671809243740228,0.5474615982638651,1.5410161567776177,0.07878494618365484,1.0,1.0,heavy_short
financial_15m,regression,adam,F1,12,1,84.0,1.0,7.558259100938356e-05,0.040156758250721625,-3.9745286604606016,0.575767271431357,1.5410161567776177,0.07878494618365484,45.916666666666664,31.5520544242104,heavy_short
financial_15m,regression,adam,F2,12,1,48.0,1.0,1.864056914546876e-05,-0.2657554233540835,-4.604548052065972,0.548449195263782,1.5410161567776177,0.07878494618365484,80.35416666666667,127.9352581157969,heavy_short
financial_15m,regression,adam,F3,12,0,1077.5,0.5833333333333334,0.00035324814069435104,0.25455134825860837,-3.5910043172122688,0.5474615982638651,1.5410161567776177,0.07878494618365484,3.579582366589327,6.751022157861401,heavy_short
financial_15m,regression,adam,F4,12,1,87.0,1.0,0.0001486353640776724,0.027945994397513402,-3.763794716665791,0.5663879865060918,1.5410161567776177,0.07878494618365484,44.333333333333336,16.04453987009907,heavy_short
financial_15m,regression,adam,F5,12,1,74.5,1.0,1.6809180631439827e-05,-0.19160479254715637,-4.725294139442646,0.545394338147942,1.5410161567776177,0.07878494618365484,51.77181208053691,141.87401975979787,heavy_short
financial_15m,regression,adam,F6,12,1,85.5,0.9166666666666666,0.0007660583709288263,-0.08733749613319686,-2.9612462540903493,0.5569312129610052,1.5410161567776177,0.07878494618365484,45.111111111111114,3.11306046060095,heavy_short
financial_15m,regression,adam,F7,12,1,87.5,1.0,0.00024197564125868443,0.07834183517262727,-3.528711862426674,0.5936756850805707,1.5410161567776177,0.07878494618365484,44.08,9.85547971955345,heavy_short
financial_15m,regression,sgd,F0,12,1,110.5,1.0,0.00012254507291734377,0.1156132540564248,-3.880096721312695,0.5480573184018075,1.5410161567776177,0.07878494618365484,1.0,1.0,heavy_short
financial_15m,regression,sgd,F1,12,1,558.0,1.0,5.258282984795749e-05,-2.3124325052116164,-3.6474315608731143,0.573531163985441,1.5410161567776177,0.07878494618365484,0.19802867383512546,2.33051498505655,heavy_short
financial_15m,regression,sgd,F2,12,1,1411.5,1.0,1.2883538615985634e-05,-0.23326623379567288,-4.269219765265415,0.5480899949023464,1.5410161567776177,0.07878494618365484,0.07828551186680836,9.51175578154377,heavy_short
financial_15m,regression,sgd,F3,12,0,1083.5,0.6666666666666666,1.841796324549842e-05,-0.2152263647353926,-4.299143667446223,0.5480573184018076,1.5410161567776177,0.07878494618365484,0.10198431010613752,6.653562681383638,heavy_short
financial_15m,regression,sgd,F4,12,1,721.5,1.0,2.2277467120215904e-05,-2.126916757058055,-3.8009731991765237,0.5662589887861937,1.5410161567776177,0.07878494618365484,0.15315315315315314,5.500853048331471,heavy_short
financial_15m,regression,sgd,F5,12,1,1745.0,1.0,9.275246216970188e-06,-0.8136982334043615,-4.273514064942159,0.5465093502438141,1.5410161567776177,0.07878494618365484,0.06332378223495702,13.21205605228384,heavy_short
