stage1_mcnemar_p,rate_gain,hit_F0,hit_Fk,n_both,speedup_both,t_stat,p_cond,cohen_d,block,model,noise,optimizer,filter
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adamw,F3
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adamw,F4
1.0,0.0,0.0,0.0,0,,,,,B,ar,N4,adamw,F5
1.0,0.0,0.03,0.03,3,0.9878426015044743,-1.1289241046590395,0.8119351150914618,-0.6517846357195538,B,logistic,N2,adam,F1
1.0,0.0,0.03,0.03,3,0.9572944055475032,-1.1195382339740005,0.810343377307519,-0.6463657007529674,B,logistic,N2,adam,F2
0.75,0.0,0.03,0.03,2,,,,,B,logistic,N2,adam,F3
1.0,0.0,0.03,0.03,3,1.0019905314184734,0.5907022687575426,0.30729025239576635,0.3410421138780899,B,logistic,N2,adam,F4
1.0,0.0,0.03,0.03,3,1.0036609675315744,1.387362499916246,0.149851242348904,0.8009941127902368,B,logistic,N2,adam,F5
1.0,0.0,0.03,0.03,3,0.9878426923869739,-1.1289107720950096,0.8119328649738368,-0.6517769381601222,B,logistic,N2,adamw,F1
1.0,0.0,0.03,0.03,3,0.9574064137700902,-1.1148563561192708,0.8095435976500189,-0.6436626173132263,B,logistic,N2,adamw,F2
0.75,0.0,0.03,0.03,2,,,,,B,logistic,N2,adamw,F3
1.0,0.0,0.03,0.03,3,1.0019906849270714,0.5907642799758027,0.30727302755473157,0.3410779160716451,B,logistic,N2,adamw,F4
1.0,0.0,0.03,0.03,3,1.0037327704340608,1.4218999030666644,0.14548972266562066,0.8209342917962416,B,logistic,N2,adamw,F5
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adam,F1
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adam,F2
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adam,F3
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adam,F4
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adam,F5
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adamw,F1
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adamw,F2
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adamw,F3
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adamw,F4
1.0,0.0,0.0,0.0,0,,,,,B,logistic,N4,adamw,F5
1.0,-0.020000000000000018,1.0,0.98,98,0.5093387825621242,-6.065706964275187,0.9999999873442909,-0.6127289324470646,B,quadratic,N2,adam,F1
1.0,0.0,1.0,1.0,100,1.540798400646687,3.981819811215976,6.52951101145479e-05,0.39818198112159764,B,quadratic,N2,adam,F2
1.0,0.0,1.0,1.0,100,3.9376541607714204,10.150601369346456,2.5676347520723016e-17,1.0150601369346457,B,quadratic,N2,adam,F3
1.0,-0.010000000000000009,1.0,0.99,99,0.5930908206632465,-4.38879295983829,0.9999856109998873,-0.4410902887980886,B,quadratic,N2,adam,F4
1.0,0.0,1.0,1.0,100,0.8681046897222121,-1.2431240982239857,0.8916209353392565,-0.12431240982239856,B,quadratic,N2,adam,F5
1.0,-0.020000000000000018,1.0,0.98,98,0.5093387825621242,-6.065706964275187,0.9999999873442909,-0.6127289324470646,B,quadratic,N2,adamw,F1
1.0,0.0,1.0,1.0,100,1.540798400646687,3.981819811215976,6.52951101145479e-05,0.39818198112159764,B,quadratic,N2,adamw,F2
1.0,0.0,1.0,1.0,100,3.9376541607714204,10.150601369346456,2.5676347520723016e-17,1.0150601369346457,B,quadratic,N2,adamw,F3
1.0,-0.010000000000000009,1.0,0.99,99,0.5930908206632465,-4.38879295983829,0.9999856109998873,-0.4410902887980886,B,quadratic,N2,adamw,F4
1.0,0.0,1.0,1.0,100,0.8681046897222121,-1.2431240982239857,0.8916209353392565,-0.12431240982239856,B,quadratic,N2,adamw,F5
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adam,F1
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adam,F2
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adam,F3
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adam,F4
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adam,F5
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adamw,F1
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adamw,F2
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adamw,F3
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adamw,F4
1.0,0.0,0.0,0.0,0,,,,,B,quadratic,N4,adamw,F5
