train,test,filter,optimizer,seed,test_acc,majority
ETH-USD,SPY,F4,adam,0,0.4790665751544269,0.6187371310912835
ETH-USD,SPY,F4,adam,1,0.44371997254632806,0.6187371310912835
ETH-USD,SPY,F4,adam,2,0.5267673301304049,0.6187371310912835
ETH-USD,SPY,F7,adam,0,0.48318462594371997,0.6187371310912835
ETH-USD,SPY,F7,adam,1,0.4698009608785175,0.6187371310912835
ETH-USD,SPY,F7,adam,2,0.47803706245710365,0.6187371310912835
ETH-USD,SPY,F8,adam,0,0.48318462594371997,0.6187371310912835
ETH-USD,SPY,F8,adam,1,0.4698009608785175,0.6187371310912835
ETH-USD,SPY,F8,adam,2,0.47803706245710365,0.6187371310912835
ETH-USD,SPY,F9,adam,0,0.49279341111873715,0.6187371310912835
ETH-USD,SPY,F9,adam,1,0.4821551132463967,0.6187371310912835
ETH-USD,SPY,F9,adam,2,0.49279341111873715,0.6187371310912835
EURUSD=X,AAPL,F0,adam,0,0.6101578586135896,0.6310912834591627
EURUSD=X,AAPL,F0,adam,1,0.6077556623198352,0.6310912834591627
EURUSD=X,AAPL,F0,adam,2,0.6125600549073439,0.6310912834591627
